ALGORITMA,FITUR,IMPORTANCE
XGBoost,ROLLING_MEAN_3,0.2971351444721222
XGBoost,ROLLING_MEAN_7,0.2338189333677292
XGBoost,LAG_1,0.1354895383119583
XGBoost,LAG_2,0.07997316867113113
XGBoost,EXPANDING_MEAN,0.06657696515321732
XGBoost,ROLLING_MEAN_14,0.031054502353072166
XGBoost,EXPANDING_STD,0.01733728125691414
XGBoost,DAY,0.012140545062720776
XGBoost,DAYOFYEAR,0.01133295800536871
XGBoost,LAG_14,0.011071739718317986
XGBoost,MONTH,0.009358987212181091
XGBoost,DOW_COS,0.009147797711193562
XGBoost,DAYS_SINCE_LAST_HOLIDAY,0.008796761743724346
XGBoost,YEAR,0.008681430481374264
XGBoost,IS_HOLIDAY,0.008522829040884972
XGBoost,LAG_28,0.0077163963578641415
XGBoost,DOW_SIN,0.007668267469853163
XGBoost,LAG_3,0.007268066518008709
XGBoost,DAYS_TO_NEXT_HOLIDAY,0.007195756770670414
XGBoost,DAYOFWEEK,0.006069894880056381
XGBoost,ROLLING_STD_3,0.005240928381681442
XGBoost,WEEKOFYEAR,0.004986434709280729
XGBoost,ROLLING_STD_14,0.004869725089520216
XGBoost,MONTH_COS,0.004663394298404455
XGBoost,ROLLING_STD_7,0.0038825178053230047
XGBoost,IS_MONTH_END,0.0
XGBoost,IS_MONTH_START,0.0
XGBoost,QUARTER,0.0
XGBoost,MONTH_SIN,0.0
XGBoost,LAG_7,0.0
XGBoost,KATEGORI_AIR MINERAL,0.0
XGBoost,KATEGORI_MINUMAN TEH,0.0
XGBoost,KATEGORI_SUSU,0.0
XGBoost,KATEGORI_ROKOK,0.0
XGBoost,IS_BEFORE_HOLIDAY_3D,0.0
XGBoost,IS_AFTER_HOLIDAY_3D,0.0
XGBoost,IS_NEAR_HOLIDAY_3D,0.0
LightGBM,LAG_1,123.0
LightGBM,DAY,110.0
LightGBM,DAYOFYEAR,101.0
LightGBM,EXPANDING_STD,79.0
LightGBM,ROLLING_MEAN_3,76.0
LightGBM,LAG_14,56.0
LightGBM,ROLLING_STD_7,55.0
LightGBM,ROLLING_STD_3,55.0
LightGBM,DAYS_TO_NEXT_HOLIDAY,52.0
LightGBM,DAYS_SINCE_LAST_HOLIDAY,52.0
LightGBM,LAG_7,50.0
LightGBM,LAG_28,42.0
LightGBM,ROLLING_STD_14,38.0
LightGBM,ROLLING_MEAN_7,35.0
LightGBM,DAYOFWEEK,34.0
LightGBM,LAG_2,33.0
LightGBM,DOW_COS,29.0
LightGBM,LAG_3,27.0
LightGBM,EXPANDING_MEAN,22.0
LightGBM,MONTH,20.0
LightGBM,YEAR,20.0
LightGBM,MONTH_SIN,20.0
LightGBM,DOW_SIN,20.0
LightGBM,ROLLING_MEAN_14,20.0
LightGBM,WEEKOFYEAR,16.0
LightGBM,KATEGORI_ROKOK,5.0
LightGBM,MONTH_COS,5.0
LightGBM,IS_HOLIDAY,4.0
LightGBM,IS_AFTER_HOLIDAY_3D,1.0
LightGBM,QUARTER,0.0
LightGBM,IS_MONTH_END,0.0
LightGBM,IS_MONTH_START,0.0
LightGBM,KATEGORI_AIR MINERAL,0.0
LightGBM,KATEGORI_MINUMAN TEH,0.0
LightGBM,KATEGORI_SUSU,0.0
LightGBM,IS_BEFORE_HOLIDAY_3D,0.0
LightGBM,IS_NEAR_HOLIDAY_3D,0.0
